Прізвище,Ім’я По-батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Приймак,Демʼян Степанович,Чоловіча,1988-01-06,Редактор,місто Вуглегірськ,"шосе Леонтовича, буд. 820, Славутич, 24624",899-75-94,orysia94@example.org
Малик,Юхим Георгійович,Чоловіча,1954-01-31,Скульптор,хутір Олешки,"парк Художника Федорова, буд. 787, Сіверськодонецьк, 85478",+380 56 627 20 49,huzielysaveta@example.org
Аронець,Феофан Богданович,Чоловіча,2008-02-08,Мовознавець,місто Отаманівка,"площа Лінія 52-га, буд. 5 кв. 54, Городище, 24185",+380 38 096 53 65,mbaidak@example.com
Височан,Ярослава Юріївна,Жіноча,1969-10-02,Паблік рилейшнз,хутір Єнакієве,"парк Гена Іоганна, буд. 9 кв. 42, Святогірськ, 15423",+380 30 832-80-84,dankevychliliia@example.org
Карпа,Єфрем Петрович,Чоловіча,1969-09-23,Музикант,місто Очаків,"площа 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 060, Буськ, 48979",+380 05 759 38 68,demydenkomarusia@example.com
Твердохліб,Мартин Юрійович,Чоловіча,1999-04-04,Візажист,хутір Кіцмань,"вулиця Лінія 22-га, буд. 05 кв. 3, Рава-Руська, 55927",084 688 29 95,pkharchenko@example.org
Данченко,Володимир Вікторович,Чоловіча,1974-02-25,Письменник,село Гайсин,"узвіз Технічний, буд. 5 кв. 6, Корсунь-Шевченківський, 02327",772 98 50,cakymenko@example.com
Скирда,Амвросій Дмитрович,Чоловіча,1980-04-12,Патологоанатом,хутір Могилів-Подільський,"вулиця Лінія 49-та, буд. 539, Золоте, 59552",030 601 30 02,ostapatamanchuk@example.org
Архимович,Герман Богданович,Чоловіча,1967-04-20,Паблік рилейшнз,місто Хорол,"площа Балтський 1-й, буд. 0, Хрестівка, 32937",544 45 94,parmen19@example.org
Щорс,Семен Вікторович,Чоловіча,1990-08-13,Художник,селище Мар'їнка,"шосе Дубова, буд. 0 кв. 693, Старий Самбір, 83981",+380 27 334 65 50,iarema56@example.org
Дробʼязко,Руслан Юрійович,Чоловіча,1995-04-30,Головний меркшейдер,селище Радомишль,"парк Лодочний, буд. 773 кв. 029, Шумськ, 54672",642 71 77,lubenetsrostyslav@example.com
Савенко,Людмила Олександрівна,Жіноча,1958-07-13,Мистецтвознавець,хутір Косів,"парк Курортний 6-й, буд. 23, Кілія, 19832",979-09-41,iaremenkoodarka@example.org
Рябошапка,Онисим Артемович,Чоловіча,2007-03-13,Хімік,селище Слов'янськ,"проспект Бродська, буд. 40, Гайсин, 81731",+380 22 466-05-90,vernyhoraopanas@example.org
Ященко,Соломон Сергійович,Чоловіча,1958-05-16,Ботанік,селище Чугуїв,"парк Прохоровський, буд. 951 кв. 4, Іршава, 41612",056-67-25,eduardtymchenko@example.com
Ільченко,Віолетта Ярославівна,Жіноча,1938-11-08,Льотчик,село Моршин,"узвіз Остапа Вишні, буд. 303, Монастирище, 65565",089 823-46-60,ruslanaverchenko@example.org
Лагода,Мирон Миколайович,Чоловіча,1938-12-03,Музикант,селище Лутугине,"сквер Короткий, буд. 0 кв. 157, Сіверськ, 20943",+380 (44) 046-78-76,ubevzenko@example.org
Бевз,Августин Павлович,Чоловіча,2002-09-01,Громадський діяч,село Підгородне,"узвіз Ярморочна площа, буд. 0, Іршава, 38409",+380 74 236-76-57,valekseienko@example.com
Бакуменко,Анжела Георгіївна,Жіноча,2008-02-02,Електротехнік,селище Васильків,"проспект Виноградна 1-ша, буд. 57 кв. 46, Гола Пристань, 95595",+380 85 584 15 99,vadymtokar@example.org
Гузенко,Омелян Сергійович,Чоловіча,1975-04-11,Економіст,місто Вилкове,"вулиця Лінія 51-ша, буд. 6 кв. 21, Ходорів, 83776",+380 48 807-94-33,zkonoplenko@example.org
Лупій,Ярослав Тарасович,Чоловіча,1959-05-27,Підприємець,село Кам'янка-Бузька,"парк Чубаївська, буд. 39, Нікополь, 84283",+380 67 492-21-05,oiatseniuk@example.com
Кабаненко,Людмила Ігорівна,Жіноча,1972-08-09,Лікар,село Харцизьк,"парк Дениса Максишка, буд. 711, Рені, 21767",+380 12 264-40-56,leon76@example.net
Якимчук,Азар Павлович,Чоловіча,1957-08-09,Адвокат,село Баранівка,"шосе Деволанівський узвіз, буд. 080 кв. 73, Косів, 96019",+380 (30) 070-50-99,symonirvanets@example.com
Архимович,Мілена Георгіївна,Жіноча,1994-09-07,Локсмайстер,місто Красноперекопськ,"сквер Валіховський, буд. 95, Яготин, 18433",726 99 61,symon00@example.com
Лесик,Орися Василівна,Жіноча,1947-04-25,Електрик,місто Полонне,"сквер Станційна 1-ша, буд. 595, Христинівка, 21886",+380 52 448-45-85,siarema@example.org
Бабко,Леонід Богданович,Чоловіча,1947-04-06,Археолог,хутір Лохвиця,"проспект Студентський 2-й, буд. 51, Вознесенівка, 65694",+380 92 393 58 92,karaszlatoslava@example.com
Карпенко,Златослава Ігорівна,Жіноча,1994-12-21,Юрист,селище Косів,"провулок Моторний 1-й, буд. 785 кв. 19, Шептицький, 25165",094 819-98-11,roksolana78@example.net
Ярема,Давид Георгійович,Чоловіча,1952-05-12,Футболіст,селище Лубни,"набережна Астрономічна, буд. 799, Трускавець, 52855",020 25 48,liliia56@example.com
Козак,Ігнат Артемович,Чоловіча,1950-03-29,Краєзнавець,селище Харцизьк,"парк Кипарисний 2-й, буд. 7, Житомир, 55172",971-51-99,symon28@example.net
Базилевич,Орися Артемівна,Жіноча,1956-07-19,Астроном,хутір Миколаїв,"проспект Удільний, буд. 1, Ворожба, 28640",+380 10 650 06 80,ychalenko@example.org
Фаренюк,Хома Артемович,Чоловіча,2000-05-05,Мірошник,селище Вознесенівка,"провулок Поштовий, буд. 5 кв. 6, Малин, 02407",621-41-50,bohuslav72@example.com
Супруненко,Людмила Артемівна,Жіноча,1961-04-18,Державний службовець,місто Тлумач,"узвіз Подільська, буд. 2, Олександрія, 14875",+380 (99) 912-20-95,skorobohatkomilena@example.net
Вітрук,Мілена Миколаївна,Жіноча,1944-12-15,Промисловець,селище Надвірна,"шосе Гоголя, буд. 1, Глиняни, 08777",+380 84 649-15-77,lnehoda@example.com
Цюпа,Тимофій Володимирович,Чоловіча,1971-04-28,Головний меркшейдер,місто Калуш,"провулок Матюшенка, буд. 36, Рівне, 74891",039 960-22-80,novsiienko@example.com
Чала,Симон Богданович,Чоловіча,2008-01-17,Водій,селище Мелітополь,"вулиця Чорноморський 9-й, буд. 5, Сміла, 08991",007 115-06-92,tkhmara@example.com
Корбут,Вʼячеслав Андрійович,Чоловіча,1986-12-12,Скульптор,місто Яготин,"парк Новосельского, буд. 5 кв. 621, Ладижин, 22177",+380 11 802 05 62,galaganavhustyn@example.net
Іванченко,Орина Степанівна,Жіноча,1955-02-18,Перекладач,селище Хоростків,"площа Іспанська, буд. 346 кв. 9, Тлумач, 07368",+380 (34) 858-97-39,vitaliiivanychuk@example.com
Сірко,Пармен Сергійович,Чоловіча,1965-04-23,Доцент,місто Мирноград,"проспект Кутова, буд. 3 кв. 94, Костопіль, 35210",+380 60 636-50-19,vasyl82@example.com
Левченко,Азар Богданович,Чоловіча,1960-11-03,Паблік рилейшнз,селище Березівка,"сквер Лінія 40-ва, буд. 6 кв. 377, Білозерське, 64380",077 150-70-40,wvakulenko@example.org
Власюк,Єфрем Сергійович,Чоловіча,1994-09-02,Кінорежисер,селище Вознесенівка,"проспект Тупиковий, буд. 299 кв. 749, Рава-Руська, 37246",694 09 29,ktokar@example.net
Смик,Олег Юрійович,Чоловіча,1963-08-11,Математик,місто Жданівка,"шосе Пресича Олександра, буд. 89, Корюківка, 77193",+380 (80) 221-79-71,romansirko@example.com
Андріїшина,Гаврило Юрійович,Чоловіча,2003-11-03,Паралегал,місто Рені,"площа Петра Біциллі, буд. 122 кв. 307, Довжанськ, 61636",+380 25 789-97-06,mykytafomenko@example.com
Яковенко,Трохим Васильович,Чоловіча,1990-07-19,Астронавт,місто Тиврів,"набережна Висока, буд. 353 кв. 02, Апостолове, 50261",019 722-49-03,panteleimon05@example.net
Цюцюра,Нестор Петрович,Чоловіча,2003-09-07,Стропальник,хутір Василівка,"вулиця Косий, буд. 3 кв. 17, Хрестівка, 05463",977 89 17,sviatoslavdzyndra@example.net
Савенко,Варфоломій Олександрович,Чоловіча,1947-05-25,Журналіст,хутір Кам'янка (Черкаська область),"парк Трудовий, буд. 2 кв. 9, Яготин, 86360",+380 59 827-00-57,vovcharenko@example.com
Вахній,Ольга Дмитрівна,Жіноча,1944-08-28,Підприємець,село Оріхів,"площа Павла Чубинського, буд. 1 кв. 65, Дунаївці, 89364",+380 44 849 99 16,mbalaban@example.org
Гаврилишин,Валентина Петрівна,Жіноча,1973-12-05,Астронавт,хутір Сквира,"провулок Восьмого березня 4-й, буд. 28, Малин, 88300",+380 21 541 68 78,roksolanakanivets@example.net
Назаренко,Світлана Ігорівна,Жіноча,1991-04-02,Сценарист,селище Долинська,"набережна Сосюри, буд. 6, Теплодар, 28059",+380 (72) 674-45-93,stusiaryna@example.net
Чумаченко,Марта Ярославівна,Жіноча,2008-01-13,Детектив,місто Суми,"площа Кленова, буд. 604, Новояворівськ, 88741",+380 23 639-29-33,erika64@example.org
Михайлюк,Олександр Сергійович,Чоловіча,1991-03-05,Соціолог,село Рені,"сквер Амбулаторний, буд. 863, Чуднів, 26438",042 919-62-67,vasyl12@example.com
Стельмах,Оксана Петрівна,Жіноча,1996-06-02,Літературознавець,хутір Мирноград,"шосе Флотський 3-й, буд. 49 кв. 808, Новий Буг, 62403",079 146 74 83,jlutsenko@example.org
Корж,Іван Павлович,Чоловіча,1974-01-05,Будник,хутір Тернопіль,"сквер Колекційна, буд. 205, Новоград-Волинський, 23503",206 86 52,artymvenedykt@example.org
Іванченко,Святослав Сергійович,Чоловіча,1985-11-17,Менеджер,селище Зоринськ,"набережна Десантний, буд. 0 кв. 4, Курахове, 84186",043 593 40 28,lytvynenkoliubov@example.org
Авдєєнко,Амвросій Дмитрович,Чоловіча,1973-10-17,Кінорежисер,село Чигирин,"вулиця Пересипська 1-ша, буд. 27, Шумськ, 75570",048 159 45 06,kolodubsemen@example.com
Швачка,Демʼян Ярославович,Чоловіча,1988-08-12,Менеджер,місто Камінь-Каширський,"набережна Озерна, буд. 9 кв. 898, Ірміно, 53246",+380 26 009 98 71,xverkhovynets@example.org
Цибуленко,Іван Олександрович,Чоловіча,1940-12-01,Живописець,селище Хмельницький,"узвіз Андрія Сови, буд. 40 кв. 501, Косів, 74597",+380 16 150-24-77,zchekaliuk@example.com
Валенко,Варвара Вікторівна,Жіноча,2000-06-05,Паблік рилейшнз,селище Буча,"провулок Олександра Станкова, буд. 93 кв. 5, Попасна, 60143",073 548 59 52,cnosachenko@example.com
Засядько,Симон Петрович,Чоловіча,1987-05-01,Фермер,місто Балта,"провулок Карпатська, буд. 183, Корюківка, 98688",+380 53 767-31-06,ievahuk@example.com
Дурдинець,Тетяна Павлівна,Жіноча,1946-04-07,Шериф,селище Монастирище,"узвіз Залізничний 3-й, буд. 14, Очаків, 47983",+380 54 827-85-64,danabramenko@example.net
Бабак,Володимир Іванович,Чоловіча,1995-12-30,Стиліст,село Чернігів,"проспект Михайла Врубеля, буд. 44, Львів, 12661",+380 91 493-01-05,wovsiienko@example.org
Рак,Станіслав Іванович,Чоловіча,1949-02-21,Етнограф,хутір Гірник,"шосе Дениса Максишка, буд. 0 кв. 4, Ладижин, 44073",676 42 69,havrylo33@example.net
Гайда,Орина Степанівна,Жіноча,2004-05-17,Кур'єр,хутір Рубіжне,"парк Дорожня, буд. 5 кв. 06, Болехів, 22643",+380 81 079-77-57,ivashchenkomarusia@example.org
Фесенко,Юстина Сергіївна,Жіноча,2005-12-24,Дизайнер,хутір Красноперекопськ,"провулок Шептицького, буд. 913, Алмазна, 98903",+380 40 646 56 92,hzhalilo@example.net
Тимченко,Софія Павлівна,Жіноча,1979-10-13,Редактор,місто Бунге,"провулок Лінія 45-та, буд. 2 кв. 16, Костянтинівка, 80933",+380 (04) 348-41-53,wzasenko@example.net
Матвієнко,Віктор Георгійович,Чоловіча,1946-12-20,Зоолог,село Винники,"сквер Виноградна, буд. 840, Іловайськ, 84080",+380 76 499 62 37,oleksandr18@example.com
Тимченко,Лукʼян Артемович,Чоловіча,2006-12-21,Кінорежисер,хутір Яготин,"провулок Святослава Ріхтера, буд. 997, Вільнянськ, 95546",500-34-06,ysirobaba@example.com
Дейнеко,Юстим Тарасович,Чоловіча,1948-11-20,Скульптор,село Олександрія,"площа Олександра Юрженка, буд. 36 кв. 86, Рахів, 28154",005 608-00-00,andrii61@example.org
Сагаль,Надія Романівна,Жіноча,2005-07-17,Конструктор,селище Бердичів,"площа Десята, буд. 04, Вільногірськ, 10943",095 547 85 02,andriitsybulenko@example.org
Червоненко,Віра Георгіївна,Жіноча,1941-09-19,Режисер,місто Надвірна,"проспект Шевченка парк, буд. 52 кв. 768, Щастя, 45216",484 66 40,zasukhaamaliia@example.org
Лагода,Мартин Петрович,Чоловіча,1953-11-30,Сценарист,селище Керч,"проспект Давида Бурлюка, буд. 9 кв. 12, Керч, 08529",+380 60 276 81 07,olestsisyk@example.net
Байда,Григорій Ігорович,Чоловіча,1991-12-15,Клавішник,селище Донецьк,"набережна 19-та Лінія, буд. 0, Золоте, 16939",055 247 64 68,ppalii@example.net
Вівчаренко,Симон Петрович,Чоловіча,1960-02-16,Драматург,селище Маріуполь,"набережна Локомотивний 1-й, буд. 609, Козятин, 87614",+380 (15) 748-22-46,leonandreiko@example.org
Щорс,Роман Миколайович,Чоловіча,1949-07-12,Маркетолог,село Сімферополь,"провулок Кастуся Калиновського, буд. 2, Гайсин, 10905",899-80-58,uzaporozhets@example.com
Артеменко,Зиновій Дмитрович,Чоловіча,1974-07-17,Кур'єр,місто Амвросіївка,"проспект Сабанський, буд. 9, Кривий Ріг, 27393",095 170-85-12,egoliash@example.net
Цюцюра,Лукʼян Іванович,Чоловіча,1956-04-21,Громадський діяч,село Сокаль,"проспект Нескучна, буд. 48, Лиман, 12231",+380 65 103-27-75,frantstarasenko@example.net
Чміль,Вʼячеслав Іванович,Чоловіча,1939-10-19,Художник,хутір Білозерське,"парк Дмитра Сигаревича, буд. 47 кв. 8, Волочиськ, 82550",156 82 99,itymchenko@example.com
Калениченко,Єва Степанівна,Жіноча,1992-02-26,Реабілітолог,місто Новоселиця,"площа Дур'янівський, буд. 62, Ніжин, 70700",+380 86 220-31-20,myroslav75@example.com
Атаманюк,Клавдія Дмитрівна,Жіноча,1976-06-14,Пілот,село Кропивницький,"парк Просвіти, буд. 2 кв. 38, Берестин, 94180",642 68 19,taras30@example.org
Вергун,Святослав Ігорович,Чоловіча,1992-12-04,Круп'є,хутір Білицьке,"площа Івана Франка, буд. 2, Маріуполь, 68367",+380 (37) 619-89-57,nabramchuk@example.net
Жайворон,Володимира Вікторівна,Жіноча,1974-06-12,Дантист,селище Берестин,"площа 3-тя Лінія Марії Демченко, буд. 95, Дубно, 43153",083 422 68 00,ruslan43@example.net
Козак,Борис Васильович,Чоловіча,1981-08-31,Дизайнер,місто Калуш,"шосе Віталія Гуляєва, буд. 2, Сватове, 90158",+380 55 270-26-61,baranyksolomon@example.com
Пустовіт,Дмитро Богданович,Чоловіча,1954-11-06,Фрілансер,село Вишгород,"шосе Олексіївська, буд. 00, Багачеве, 30295",+380 23 449 84 25,nadiiavlasiuk@example.com
Дробаха,Емілія Василівна,Жіноча,2001-05-14,Сценарист,місто Стрий,"узвіз Могилівська, буд. 0 кв. 17, Лутугине, 69174",048-04-97,martyn41@example.net
Батуринець,Еріка Сергіївна,Жіноча,2008-10-22,Паблік рилейшнз,місто Мелітополь,"вулиця Госпітальний, буд. 55 кв. 2, Горохів, 20200",066 577 61 35,izabarna@example.com
Даценко,Йосип Степанович,Чоловіча,1944-05-08,Пілот,місто Городок,"площа Волова, буд. 842, Липовець, 71858",+380 (97) 065-53-49,tsisyksemen@example.net
Голобородько,Прохір Миколайович,Чоловіча,1947-11-02,Промисловець,село Мукачево,"набережна Лінія 26-та, буд. 463, Бершадь, 19167",011 785 05 28,iaryna95@example.net
Засенко,Трохим Степанович,Чоловіча,2007-05-19,Круп'є,село Нетішин,"площа Кредитний, буд. 8, Волноваха, 23024",783 31 61,charnyshpavlo@example.org
Дубас,Христина Василівна,Жіноча,1993-11-25,Математик,село Українка,"шосе Пересипська 8-ма, буд. 559 кв. 105, Вільнянськ, 05155",+380 91 814 20 94,haidapanas@example.net
Їжакевич,Марта Вікторівна,Жіноча,1939-12-07,Гірничий інженер,селище Ржищів,"шосе Володимира Терещенка, буд. 353, Волочиськ, 68555",025-84-64,arsen28@example.net
Кириленко,Йосип Романович,Чоловіча,1972-06-25,Економіст,селище Дубляни,"сквер Нескучна, буд. 62 кв. 150, Алмазна, 71369",+380 67 541-20-53,nazarenkovalentyn@example.org
Романчук,Назар Дмитрович,Чоловіча,1950-04-17,Будник,селище Монастириська,"сквер Дмитра Іванова, буд. 918 кв. 32, Виноградів, 50335",+380 28 617-43-79,iermolenkomariia@example.org
Артюх,Тетяна Степанівна,Жіноча,1961-10-28,Няня,хутір Перещепине,"шосе Академічний, буд. 27 кв. 85, Ланівці, 86012",+380 25 595-22-58,heorhiidanyliuk@example.org
Рубець,Теодор Олександрович,Чоловіча,1996-02-27,Швачка,хутір Іловайськ,"узвіз Леся Курбаса, буд. 2 кв. 4, Деражня, 08393",+380 35 894-29-03,arsen42@example.com
Юхименко,Альбіна Дмитрівна,Жіноча,1962-11-10,Піаніст,село Баранівка,"сквер Фонтанська дорога, буд. 3 кв. 0, Глиняни, 61653",040 331 96 25,zhukleopold@example.com
Теліженко,Людмила Василівна,Жіноча,1995-10-23,Дерун,хутір Самар,"набережна Кипарисний 1-й, буд. 9, Бахчисарай, 07541",+380 51 804 93 63,nazarsemenchenko@example.org
Товстуха,Мілена Володимирівна,Жіноча,1956-09-06,Дипломат,місто Заводське,"проспект Басейний 6-й, буд. 372, П'ятихатки, 74213",673 58 73,ieva03@example.org
Ємельяненко,Опанас Васильович,Чоловіча,1978-10-09,Дерун,село Хорол,"провулок 1-й Академічний тупик, буд. 343 кв. 07, Вознесенівка, 16081",+380 (15) 877-80-64,ieremenkoiustym@example.org
Чубай,Роман Георгійович,Чоловіча,1939-07-29,Медик,селище Чоп,"шосе Садова 6-та, буд. 270, Новоград-Волинський, 43945",057 323-56-56,iarema25@example.net
Батюк,Аарон Юрійович,Чоловіча,1976-07-28,Фрілансер,місто Чернівці,"провулок Лінія 23-тя, буд. 104 кв. 847, Судак, 61279",+380 (33) 151-02-33,mariia69@example.org
Вакуленко,Марина Андріївна,Жіноча,1969-04-11,Різноробочий,селище Гірник,"набережна Отрада, буд. 9, Луганськ, 61222",+380 21 387-18-32,tartiushenko@example.com
Затовканюк,Спас Васильович,Чоловіча,1946-07-06,Бібліограф,село Алмазна,"площа Кінбурнський, буд. 805, Луцьк, 07551",+380 98 583-71-44,milena18@example.com
Фартушняк,Варвара Дмитрівна,Жіноча,1973-01-05,Промисловець,хутір Ніжин,"шосе Вокзальний, буд. 514, Острог, 83317",+380 13 626-86-66,ielysavetahavryshkevych@example.org
Байдак,Охрім Володимирович,Чоловіча,1945-04-11,Математик,селище Лохвиця,"проспект Вузький, буд. 6 кв. 1, Гайсин, 83115",+380 76 849-69-35,iaremkonataliia@example.com
Корсун,Анжела Олександрівна,Жіноча,1978-06-28,Кухар,селище Ровеньки,"сквер Косий, буд. 640, Костянтинівка, 52957",+380 20 540-02-49,martaarsenych@example.net
Микитюк,Станіслав Романович,Чоловіча,1962-12-29,Провізор,хутір Корюківка,"провулок Дмитра Сигаревича, буд. 422, Волочиськ, 10624",+380 91 679 79 74,fediroberemko@example.org
Баранець,Зорян Тарасович,Чоловіча,1956-04-21,Медик,село Лиман,"вулиця Складська, буд. 93, Заводське, 99898",151-17-92,valenkookhrim@example.net
Євтушок,Лілія Василівна,Жіноча,1984-08-19,Музичний редактор,селище Шумськ,"провулок Танфільєва, буд. 9 кв. 888, Малин, 22903",+380 (56) 419-41-39,onysymbaranets@example.com
Демʼянчук,Ірена Олександрівна,Жіноча,1947-02-08,Ветеринар,селище Гірник,"провулок Цесевича, буд. 7, Новодружеськ, 27725",645 40 14,rubetsdemyd@example.com
Іщенко,Пилип Васильович,Чоловіча,1963-10-01,Мінералог,хутір Старий Крим,"шосе Прибережний, буд. 5 кв. 8, Шептицький, 78701",720 93 13,hkhmara@example.net
Тарасенко,Степан Тарасович,Чоловіча,1941-01-22,Кіноактор,хутір Калуш,"парк Семінарська, буд. 09 кв. 8, Таврійськ, 18790",+380 62 251-32-85,oandriishyna@example.net
Гаврилюк,Яків Юрійович,Чоловіча,1949-03-19,Штукатур,хутір Рожище,"набережна Дерибасівська, буд. 960 кв. 96, Решетилівка, 83620",079 495 45 56,panteleimonzhurba@example.com
Габелко,Франц Романович,Чоловіча,1947-06-07,Кінорежисер,селище Сватове,"шосе Шебелінський, буд. 0 кв. 8, Перевальськ, 86989",+380 (20) 457-40-15,dannavanchenko@example.net
Гупало,Пантелеймон Вікторович,Чоловіча,1967-11-28,Археолог,хутір Молочанськ,"площа Басейний 4-й, буд. 7 кв. 503, Львів, 47983",+380 30 785-89-91,tetiana88@example.org
Дробʼязко,Назар Романович,Чоловіча,1945-07-22,Публіцист,селище Бурштин,"сквер Українська, буд. 2, Донецьк, 07024",+380 (70) 571-92-70,zorianandreiko@example.org
Ґалаґан,Єлисавета Володимирівна,Жіноча,1953-07-27,Фізик,село Макіївка,"провулок Бориса Нечерди, буд. 38, Дубно, 23580",752 22 99,solomiia93@example.net
Гресь,Ольга Іванівна,Жіноча,1963-11-27,Кінорежисер,село Броди,"площа Канатна, буд. 3, Жовті Води, 95114",036 047-24-19,fsahal@example.net
Архимович,Віолетта Петрівна,Жіноча,1952-03-06,Психолог,місто Яготин,"сквер Рівний, буд. 83 кв. 673, Фастів, 48099",995-84-73,fedir29@example.com
Данченко,Павло Іванович,Чоловіча,1992-09-02,Державний службовець,село Перемишляни,"сквер Новоукраїнський, буд. 5 кв. 7, Зимогір'я, 99169",919 73 03,tereza16@example.net
Іванченко,Трохим Миколайович,Чоловіча,1997-03-12,Сантехнік,селище Долина,"сквер Лінія 48-ма, буд. 65, Вижниця, 54482",076 236 82 55,roman29@example.org
Олійник,Володимир Юрійович,Чоловіча,1954-10-04,Художник,село Глобине,"набережна Історія Футболу, буд. 9 кв. 8, Калуш, 44424",+380 41 626-11-30,iatsenkopriska@example.org
Баранець,Розалія Олександрівна,Жіноча,1984-10-16,Водій,селище Токмак,"вулиця Поштова, буд. 93 кв. 766, Балта, 70417",+380 32 199-28-16,dashenkohanna@example.net
Атаманчук,Омелян Дмитрович,Чоловіча,1981-11-11,Мовознавець,село Зоринськ,"сквер Хаджибейський, буд. 062, Миколаїв, 33416",764 29 59,vermenychdmytro@example.net
Єфименко,Михайлина Іванівна,Жіноча,1972-08-13,Менеджер,село Херсон,"набережна Богдана Хмельницького, буд. 5 кв. 033, Жашків, 22302",082 963 32 18,vitalii35@example.net
Ткач,Софія Василівна,Жіноча,1979-06-10,Стропальник,хутір Тернопіль,"провулок Приморський, буд. 269 кв. 52, Копичинці, 02347",914 56 67,darahanmarta@example.com
Їжакевич,Варвара Богданівна,Жіноча,1993-08-10,Геолог,хутір Боярка,"вулиця Ткачова, буд. 2 кв. 695, Красногорівка, 81047",702-12-43,jdavymuka@example.net
Яременко,Марина Степанівна,Жіноча,1983-04-24,Реабілітолог,селище Горлівка,"узвіз Деволанівська, буд. 6 кв. 8, Малин, 47707",+380 09 723 10 45,dankevychheorhii@example.com
Єсипенко,Борислав Васильович,Чоловіча,1983-09-15,Громадський діяч,хутір Ізмаїл,"парк Артилерійський 2-й, буд. 3 кв. 4, Комарно, 20502",029 505 25 86,leontii16@example.com
Жаліло,Владислав Ігорович,Чоловіча,1987-01-30,Письменник,селище Кролевець,"провулок Церковна, буд. 354 кв. 269, Носівка, 03672",038 726 70 95,xvashchuk@example.org
Михайличенко,Руслан Артемович,Чоловіча,1963-03-05,Піаніст,місто Коростень,"площа Марка Твена, буд. 71 кв. 75, Яворів, 79145",+380 26 880-21-64,drobakhavolodymyra@example.org
Шутько,Остап Володимирович,Чоловіча,1942-04-05,Швачка,хутір Подільськ,"набережна Лузанівський 1-й, буд. 26 кв. 926, Зугрес, 88438",+380 (41) 981-28-01,tetianatkachenko@example.com
Вовк,Богодар Павлович,Чоловіча,1974-03-27,Астроном,селище Вовчанськ,"узвіз Історія Футболу, буд. 05 кв. 19, Калинівка, 12919",+380 51 109 85 45,bchmil@example.net
Ющенко,Христина Василівна,Жіноча,1957-06-29,Філолог,селище Овруч,"набережна Станційна 1-ша, буд. 627, Полонне, 05516",324 07 35,ydanyliuk@example.com
Кабалюк,Еріка Вікторівна,Жіноча,1966-12-12,Графік,хутір Калуш,"парк Тараса Кузьміна, буд. 057 кв. 6, Новоазовськ, 09104",+380 49 578 12 19,mykytausyk@example.org
Гайдай,Мирослав Дмитрович,Чоловіча,1959-07-23,Конструктор,місто Бахчисарай,"провулок Газова, буд. 140, П'ятихатки, 25476",086 232-21-36,liza85@example.net
Артимович,Трохим Степанович,Чоловіча,1968-05-06,Мінералог,хутір Кам'янка (Черкаська область),"проспект 12-та ст. Великого Фонтану пляж, буд. 073, Носівка, 27610",+380 16 756 68 62,kcherednyk@example.net
Кабалюк,Одарка Ярославівна,Жіноча,1965-08-03,Кур'єр,село Боярка,"проспект Совіньйонівський, буд. 86 кв. 9, Христинівка, 96419",+380 (44) 958-20-62,stefan39@example.org
Шелест,Пилип Петрович,Чоловіча,1992-06-02,Дерун,селище Радомишль,"набережна Фруктова, буд. 951, Васильків, 96922",876-61-15,neporozhniibohodar@example.net
Чумак,Йосип Петрович,Чоловіча,1971-08-23,Єгер,село Володимир-Волинський,"узвіз Амундсена, 1-й, буд. 52, Ніжин, 09308",+380 56 747-81-72,zlatoslava85@example.com
Онуфрієнко,Володимира Богданівна,Жіноча,2000-07-16,Електромонтер,хутір Біла Церква,"провулок Ігоря Ветрогонова, буд. 04 кв. 82, Одеса, 53001",+380 86 084 60 07,haidaihor@example.org
Венгринович,Геннадій Ярославович,Чоловіча,1976-08-03,Історик,селище Богодухів,"парк Радісна, буд. 60 кв. 70, Рубіжне, 70314",+380 37 684 42 76,allakovaliuk@example.com
Вишиваний,Семен Ігорович,Чоловіча,1961-08-02,Петрограф,місто Рівне,"вулиця Одеса-Головна, буд. 723, Прилуки, 88033",094 536-85-90,shovkopliasedyta@example.net
Засенко,Віолетта Іванівна,Жіноча,1969-09-02,Няня,селище Болехів,"парк Калинова, буд. 3, Решетилівка, 13261",+380 (29) 381-85-33,anzhela21@example.org
Вакуленко,Демʼян Юрійович,Чоловіча,1942-07-28,Бізнесмен,місто Кременець,"площа 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 99, Ізяслав, 66653",+380 25 905-30-71,kostiantyn57@example.org
Дубина,Віолетта Володимирівна,Жіноча,1984-07-12,Пекар,місто Ізюм,"шосе Карпатська, буд. 478, Славута, 22071",+380 (12) 681-07-93,iemetspriska@example.net
Овчаренко,Макар Олександрович,Чоловіча,1941-04-21,Пекар,місто Буринь,"набережна Лиманчик 2-й Лінія 4-та, буд. 85, Бурштин, 08484",693 93 98,idemianenko@example.net
Гаврилишина,Марина Романівна,Жіноча,1962-11-23,Сантехнік,місто Тернопіль,"парк Панаса Мирного, буд. 131, Попасна, 32059",+380 68 044-92-17,liemets@example.com
Девдюк,Мирослав Дмитрович,Чоловіча,1986-04-22,Реабілітолог,село Снігурівка,"сквер Маячний, буд. 4, Дрогобич, 18235",326 83 03,sofiia21@example.org
